TIC_ID,T_eff,Start_time,End_time,Peak_time(BJD),Amplitude,Duration(days),Flare_energy(erg),ED(s)
29830830,3608.0,2038.4304845219924,2038.4314104608827,2038.430716,0.087355748610326,0.0009259388903046,7.418591946503759e+28,755.8809065506532
89257479,3093.0,2055.884656584341,2055.886508442328,2055.884888,0.065173801718053,0.0018518579872761,8.147278392125972e+27,1108.0965940065057
140579075,,2047.0792207694487,2047.0840818684355,2047.079915,1.1437009038627886,0.0048610989865665,,6056.403208059953
31740375,3379.0,2056.862566960917,2056.864187356156,2056.862798,0.2256150663322803,0.0016203952391151,9.776526483894328e+28,2619.9600648687456
141807839,3259.0,2044.1303065363643,2044.156000827996,2044.131232,0.1328051839840326,0.0256942916312254,3.516210847137135e+31,27233.906936933767
141807839,3259.0,2045.0731248316,2045.1022913136544,2045.074282,0.0712495542974723,0.0291664820540518,2.257935751618874e+31,14201.381960096747
142052876,,2053.4095377562835,2053.410695150181,2053.409769,0.1847627353540448,0.0011573938973015,,938.412760569226
149539114,5367.0,2058.354612925288,2058.3585481385294,2058.355076,0.0495585738948559,0.0039352132421299,8.181663618825014e+30,1261.844308121508
167551757,,2050.7284945689325,2050.7372908249336,2050.729652,0.0662135090592857,0.0087962560010055,,4042.529382737836
167551757,,2050.9111326144475,2050.918539987376,2050.911827,0.0281057405891761,0.0074073729283554,,1966.9510493937964
167551757,,2052.079645457916,2052.084043583879,2052.080571,0.1501411989566353,0.0043981259632346,,3761.8027982122194
167551757,,2056.0247626877767,2056.0314756111093,2056.025226,0.0080094876304232,0.0067129233325431,,2049.8159596106298
167574282,5290.93017578,2054.597157856445,2054.602250428775,2054.597389,0.0281467461855326,0.005092572329886,5.203107717081158e+30,809.0982002086216
169148174,,2049.266779045829,2049.2741863269066,2049.267242,0.0901498918250105,0.007407281077576,,3964.486297742069
169148174,,2057.571699992891,2057.575635081744,2057.571931,0.0867105555257992,0.0039350888528133,,4551.37645829623
169148174,,2058.246220360709,2058.254322010476,2058.246683,0.0442471296136661,0.0081016497670134,,3045.7584759140486
32090583,3249.0,2036.433570165883,2036.4384313615528,2036.434959,0.822275047422909,0.0048611956694912,4.308830715361595e+29,9085.217145107512
220432563,3387.0,2036.7041140235208,2036.708743741396,2036.704808,0.0609589336752945,0.0046297178751046,1.8788740961691684e+29,1639.0670431325332
220432563,3387.0,2058.32879785506,2058.331112708096,2058.329492,0.2706206270481576,0.0023148530367507,1.384033582461564e+29,2767.409581931267
220473309,3884.0,2058.139513049708,2058.145531671684,2058.14067,0.027860518464877,0.006018621975727,1.540411873696379e+30,479.820774124089
229807000,3453.0,2043.5675356153704,2043.5818877309607,2043.571239,0.2611828857330385,0.0143521155910093,1.2409293062121284e+31,13579.03424242157
231799463,,2037.30694333154,2037.310878537854,2037.307869,101.91455619217432,0.0039352063142814,,3695.557330341894
231799463,,2055.956762815837,2056.0042165517502,2055.957226,27.630182376009248,0.0474537359132227,,27290.99122537504
232073219,,2045.421705782163,2045.4249465811383,2045.422632,0.1045569545403521,0.0032407989756393,,1020.8494090722774
