TIC_ID,Start_Time (TBJD),End_Time (TBJD),Sigma,Time_Extension (days),Best_Model_ID,Best_Model_Name,Best_Model_BIC,Power_Law_Index,rchi2_M0,rchi2_M1,rchi2_M2,Period (s),Err_P,Error_P (s),BIC_M2_M1,BIC_M0_M1,T_eff (K),Amplitude,Flare_energy (erg),ED (s),Duration (days),Duration (mins),Prot (d)
160619243,2662.677869,2662.68736,0,0,1,pow_const_gauss,-104.9921691,6,2.849592505,0.843563909,3.128808027,60.05392234,0.05,3.002696117,17.7063444,13.50380923,3537,0.05638211,2.61E+30,3479.40553,0.00949054,13.6663776,1.31
417119788,2657.111429,2657.135155,3,0.014236088,1,pow_const_gauss,-380.7251613,4.605639112,1.719362922,0.876941194,1.283157033,165.5015398,0.05,8.27507699,16.31104552,13.0146377,3696,0.167243118,5.00E+30,6391.26274,0.009490725,13.666644,1.86
233745344,2732.799429,2732.81679,3,0.01041671,1,pow_const_gauss,-140.3270728,1.873923644,1.743913344,0.923450958,2.048753614,45.62835187,0.05,2.281417594,16.78553896,10.64554664,3074,0.247031833,2.90E+29,5004.036439,0.006944473,10.00004112,5.97
461512871,2729.666704,2729.697606,1,0.010300862,1,pow_const_gauss,-749.6148928,3.90827905,1.749546563,0.855215261,1.489819954,116.0058355,0.05,5.800291775,17.96441689,14.75435929,3802,0.310699872,6.76E+31,28094.08665,0.020601723,29.66648112,0.57
346580515,2757.223577,2757.238044,3,0.008680621,1,pow_const_gauss,-143.9598291,2.99253175,1.516933026,0.526885582,1.643413919,48.96393751,0.05,2.448196876,16.87329538,11.21705646,3316,0.133852389,3.72E+29,3390.119372,0.00578708,8.3333952,1.8
431107890,2863.137365,2863.1663,3,0.017360874,1,pow_const_gauss,-379.9519382,4.294944237,1.802735511,1.024687506,1.863045084,116.8386702,0.05,5.84193351,18.38697904,10.28891661,5203,0.018839197,1.92E+31,1173.382578,0.011573916,16.66643904,2.51
470679277,2914.998545,2915.073893,1,0.025115922,1,pow_const_gauss,-1907.527768,2.383249123,0.962360356,0.852855314,0.980461953,61.90299496,0.177,10.95683011,18.3551228,11.03501667,3236,0.079333745,3.72E+31,34889.21505,0.050231844,72.33385536,0.94
141807839,2965.854876,2965.862978,3,0.004861143,1,pow_const_gauss,-53.69475472,2.721251899,1.813853469,0.663938479,2.079368189,52.50709771,0.07,3.67549684,17.05517381,12.62063818,3259,0.056850702,2.58E+29,1460.481165,0.003240762,4.66669728,0.84
46907042,2989.818141,2989.849738,1,0.010532494,1,pow_const_gauss,-632.2063671,2.983958133,1.324549239,0.702213384,1.226070322,43.22925728,0.103,4.4526135,27.65628406,24.10761418,5025.75,0.034546735,3.57E+31,2053.588172,0.021064988,30.33358272,1.61
303443210,3014.444384,3014.472625,2,0.014120683,1,pow_const_gauss,-484.0985706,4.788485143,1.011068578,0.774687673,0.925097669,193.5280941,0.179,34.64152884,18.24490433,12.03533646,,0.236484215,,12577.5431,0.014120683,20.33378352,1.6
348898049,3037.018669,3037.064965,2,0.023147935,1,pow_const_gauss,-458.9225378,3.801271267,1.495257355,0.667285955,1.525862162,52.50912622,0.05,2.625456311,30.88662999,21.72284088,5225.910156,0.024523865,5.38E+31,2600.138925,0.023147935,33.3330264,1
382575967,3026.683454,3026.70394,1,0.006828657,1,pow_const_gauss,-224.6071368,3.884952853,1.77596292,0.744583378,1.863606271,54.55305792,0.05,2.727652896,21.66248682,15.47516441,5567.129883,0.044009747,7.22E+31,2826.439623,0.013657314,19.66653216,2.34
429354344,3036.539888,3036.550304,1,0.003472239,1,pow_const_gauss,-150.9530955,4.40486614,2.085976581,0.588982726,2.405915604,65.26060504,0.05,3.263030252,20.80997245,16.04703137,3097,0.105758478,1.19E+29,4075.948147,0.006944478,10.00004832,0.85
429354344,3036.542203,3036.54961,2,0.003703722,1,pow_const_gauss,-101.8670189,4.70012314,1.693687602,0.466850297,1.248379886,63.78665727,0.088,5.61322584,14.71845582,14.53854296,3097,0.13765398,3.84E+28,2497.037566,0.003703722,5.33335968,0.85
303443210,3051.696196,3051.719923,3,0.014236124,1,pow_const_gauss,-328.2440983,4.018306025,1.543479624,1.026244749,1.618212185,71.66581772,0.05,3.583290886,18.24293135,10.53857553,,0.06573532,,4040.098316,0.009490749,13.66667856,1.17
405040121,3091.0281,3091.044303,2,0.008101757,1,pow_const_gauss,-332.6198076,4.024946105,1.247195002,0.631091937,1.223929972,70.10733764,0.187,13.11007214,14.85192217,11.35314241,3624,0.218233623,3.85E+30,1809.162611,0.008101757,11.66653008,0.83
452479048,3112.791575,3112.808705,2,0.008564717,1,pow_const_gauss,-111.2362245,2.937944732,1.380071217,0.656700472,1.449749007,49.26272005,0.25,12.31568001,23.42038875,16.6608053,5730,0.007366232,4.15E+31,934.1275114,0.008564717,12.33319248,0.55
